,X,DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,VEHICLE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2
34,35657,1/21/14,15:00,BROOKLYN,11206,40.6990725,-73.9354706,0,0,0,0,0,0,0,0,Unspecified,OTHER,64,0,206,0,-110,68,340
35,35658,1/21/14,9:50,BROOKLYN,NA,40.7294827,-73.9720896,1,0,0,0,0,0,1,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
36,35659,1/21/14,15:10,BROOKLYN,11232,40.6633481,-73.9982843,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
37,35660,1/21/14,16:00,QUEENS,NA,40.5945547,-73.997568,0,0,0,0,0,0,0,0,Turning Improperly,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
38,35661,1/21/14,16:30,BROOKLYN,11210,40.6328856,-73.9476978,0,0,0,0,0,0,0,0,Unspecified,BUS,64,0,206,0,-110,68,340
39,35662,1/21/14,18:30,QUEENS,11368,40.7468245,-73.8532549,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
40,35663,1/21/14,18:53,QUEENS,11435,40.7087314,-73.8076209,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
41,35664,1/21/14,18:55,QUEENS,11360,40.7736733,-73.7748129,0,0,0,0,0,0,0,0,Fatigued/Drowsy,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
42,35665,1/21/14,23:15,BROOKLYN,NA,40.7333796,-73.8666495,0,0,0,0,0,0,0,0,Turning Improperly,TAXI,64,0,206,0,-110,68,340
43,35666,1/21/14,9:57,BRONX,10466,40.8943153,-73.860261,2,0,0,0,0,0,2,0,Pavement Defective,PASSENGER VEHICLE,64,0,206,0,-110,68,340
44,35667,1/21/14,17:58,QUEENS,NA,40.7357643,-73.9748983,0,0,0,0,0,0,0,0,Fatigued/Drowsy,PASSENGER VEHICLE,64,0,206,0,-110,68,340
45,35668,1/21/14,17:58,BROOKLYN,11234,40.6379084,-73.9230775,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
46,35669,1/21/14,9:57,QUEENS,11420,40.6659184,-73.8213158,0,0,0,0,0,0,0,0,Fatigued/Drowsy,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
47,35670,1/21/14,9:57,MANHATTAN,10031,40.8195719,-73.9517457,0,0,0,0,0,0,0,0,Pavement Slippery,BUS,64,0,206,0,-110,68,340
48,35671,1/21/14,9:56,MANHATTAN,10010,40.7407905,-73.9838116,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
49,35672,1/21/14,9:55,MANHATTAN,NA,40.8886162,-73.910175,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
50,35673,1/21/14,9:55,BROOKLYN,11212,40.6687091,-73.9173068,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
51,35674,1/21/14,9:54,BROOKLYN,11207,40.6853679,-73.9108861,0,0,0,0,0,0,0,0,Unspecified,OTHER,64,0,206,0,-110,68,340
52,35675,1/21/14,9:50,BRONX,NA,40.7091579,-73.8410666,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
53,35676,1/21/14,9:50,QUEENS,11434,40.6877531,-73.7903844,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
54,35677,1/21/14,9:50,BROOKLYN,11208,40.6723897,-73.8746231,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
55,35678,1/21/14,9:50,BROOKLYN,11203,40.6448554,-73.9228497,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
56,35679,1/21/14,9:49,QUEENS,11366,40.7257899,-73.791744,0,0,0,0,0,0,0,0,Outside Car Distraction,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
57,35680,1/21/14,9:48,QUEENS,11417,40.6745572,-73.859593,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
58,35681,1/21/14,9:48,BROOKLYN,11209,40.6214926,-74.0262133,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
59,35682,1/21/14,9:46,MANHATTAN,10022,40.7595778,-73.9680255,0,0,0,0,0,0,0,0,Traffic Control Disregarded,PASSENGER VEHICLE,64,0,206,0,-110,68,340
60,35683,1/21/14,9:45,BRONX,10455,40.8173698,-73.9025769,1,0,0,0,0,0,1,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
61,35684,1/21/14,9:45,QUEENS,11412,40.7052386,-73.7750729,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
62,35685,1/21/14,9:45,QUEENS,11356,40.7786169,-73.8388611,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
63,35686,1/21/14,9:45,QUEENS,11354,40.7639863,-73.8110857,0,0,0,0,0,0,0,0,Physical Disability,PASSENGER VEHICLE,64,0,206,0,-110,68,340
64,35687,1/21/14,9:45,MANHATTAN,10032,40.8327659,-73.9458242,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
65,35688,1/21/14,9:45,MANHATTAN,10016,40.7412749,-73.9753418,0,0,0,0,0,0,0,0,Unspecified,VAN,64,0,206,0,-110,68,340
66,35689,1/21/14,9:45,MANHATTAN,10003,40.7255825,-73.9898692,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
67,35690,1/21/14,9:45,BROOKLYN,11211,40.7175158,-73.943169,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,64,0,206,0,-110,68,340
68,35691,1/21/14,9:45,BROOKLYN,11207,40.6757357,-73.8968533,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
69,35692,1/21/14,9:45,BROOKLYN,11203,40.6397952,-73.9291071,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
70,35693,1/21/14,9:45,BRONX,10460,40.8392461,-73.8700947,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,VAN,64,0,206,0,-110,68,340
71,35694,1/21/14,9:44,BROOKLYN,11207,40.6757357,-73.8968533,3,0,0,0,0,0,3,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
72,35695,1/21/14,9:43,BRONX,10454,40.8109488,-73.9271438,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
73,35696,1/21/14,9:42,STATEN ISLAND,10301,40.6196656,-74.0996777,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
74,35697,1/21/14,9:41,QUEENS,NA,40.8838724,-73.8869456,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
75,35698,1/21/14,9:41,BROOKLYN,11249,40.7048304,-73.9663241,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
76,35699,1/21/14,9:40,STATEN ISLAND,NA,40.7570665,-73.8386219,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
77,35700,1/21/14,9:40,BROOKLYN,NA,40.7363231,-73.8563019,0,0,0,0,0,0,0,0,Turning Improperly,LARGE COM VEH(6 OR MORE TIRES),64,0,206,0,-110,68,340
78,35701,1/21/14,9:40,QUEENS,11355,40.7588717,-73.8206369,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
79,35702,1/21/14,9:40,MANHATTAN,10025,40.7908717,-73.9726908,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,64,0,206,0,-110,68,340
80,35703,1/21/14,9:40,BROOKLYN,11229,40.5948715,-73.9505542,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
81,35704,1/21/14,9:40,BROOKLYN,11208,40.677564,-73.8749739,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
82,35705,1/21/14,9:40,BROOKLYN,11208,40.680015,-73.8774282,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
83,35706,1/21/14,9:38,STATEN ISLAND,10312,40.5438011,-74.1647859,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
84,35707,1/21/14,9:36,BRONX,NA,40.7087666,-73.9981083,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,TAXI,64,0,206,0,-110,68,340
85,35708,1/21/14,9:35,QUEENS,11435,40.7057457,-73.809689,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
86,35709,1/21/14,9:35,BROOKLYN,11234,40.5965113,-73.9078755,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
87,35710,1/21/14,9:35,BROOKLYN,11220,40.6479057,-74.0074055,0,0,0,0,0,0,0,0,Fatigued/Drowsy,PASSENGER VEHICLE,64,0,206,0,-110,68,340
88,35711,1/21/14,9:35,BROOKLYN,11213,40.6652326,-73.9314554,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
89,35712,1/21/14,9:35,BRONX,10452,40.8313358,-73.9216614,0,0,0,0,0,0,0,0,Pavement Slippery,SMALL COM VEH(4 TIRES),64,0,206,0,-110,68,340
